L,W,d,B_def,B_att,seed,n_nodes,n_arcs,ccg_loss,ccg_iter,ccg_time_s,ccg_gap,lp_loss,lp_iter,lp_time_s,lp_gap,gr_loss,gr_iter,gr_time_s,gr_gap
3,3,2,10,15,0,10,14,36.0,1,0.011,1.0,0.0,1,0.008,0.0,36.0,1,0.006,1.0
3,3,2,10,15,1,10,14,64.0,1,0.01,1.0,46.0,1,0.007,1.0,64.0,1,0.005,1.0
3,3,2,10,15,2,10,14,15.0,1,0.014,1.0,15.0,1,0.012,1.0,15.0,1,0.008,1.0
3,3,2,10,15,3,10,14,47.0,1,0.012,1.0,47.0,1,0.009,1.0,44.0,1,0.005,1.0
3,3,2,10,15,4,10,14,29.0,1,0.013,1.0,0.0,1,0.007,0.0,29.0,1,0.004,1.0
3,3,2,10,15,5,10,14,81.0,1,0.01,1.0,49.0,1,0.008,1.0,75.0,2,0.01,1.0
3,3,2,10,15,6,10,14,0.0,2,0.02,0.0,46.0,1,0.008,1.0,46.0,2,0.01,1.0
3,3,2,10,15,7,10,14,49.0,2,0.021,1.0,49.0,1,0.008,1.0,49.0,2,0.009,1.0
3,3,2,10,15,8,10,14,33.0,2,0.026,1.0,33.0,1,0.01,1.0,33.0,1,0.005,1.0
3,3,2,10,15,9,10,14,88.0,1,0.009,1.0,49.0,1,0.007,1.0,0.0,1,0.005,0.0
3,3,2,15,15,0,10,14,36.0,1,0.009,1.0,0.0,1,0.008,0.0,0.0,1,0.004,0.0
3,3,2,15,15,1,10,14,64.0,1,0.009,1.0,46.0,1,0.008,1.0,64.0,1,0.005,1.0
3,3,2,15,15,2,10,14,15.0,1,0.012,1.0,15.0,1,0.013,1.0,15.0,1,0.008,1.0
3,3,2,15,15,3,10,14,47.0,1,0.009,1.0,47.0,1,0.009,1.0,44.0,1,0.004,1.0
3,3,2,15,15,4,10,14,29.0,1,0.011,1.0,0.0,1,0.008,0.0,29.0,1,0.005,1.0
3,3,2,15,15,5,10,14,81.0,1,0.011,1.0,49.0,1,0.008,1.0,81.0,2,0.009,1.0
3,3,2,15,15,6,10,14,0.0,2,0.02,0.0,46.0,1,0.008,1.0,0.0,1,0.005,0.0
3,3,2,15,15,7,10,14,49.0,2,0.022,1.0,35.0,1,0.008,1.0,49.0,2,0.009,1.0
3,3,2,15,15,8,10,14,33.0,2,0.027,1.0,33.0,1,0.008,1.0,33.0,1,0.004,1.0
3,3,2,15,15,9,10,14,88.0,1,0.01,1.0,49.0,1,0.008,1.0,0.0,1,0.005,0.0
3,3,3,10,20,0,10,21,34.0,9,0.104,0.0,36.0,5,0.045,1.0,36.0,2,0.011,1.0
3,3,3,10,20,1,10,21,0.0,6,0.066,0.0,0.0,1,0.008,0.0,46.0,2,0.011,1.0
3,3,3,10,20,2,10,21,15.0,6,0.065,0.0,15.0,6,0.05,0.833333,15.0,2,0.01,1.0
3,3,3,10,20,3,10,21,0.0,6,0.06,0.0,0.0,1,0.007,0.0,47.0,2,0.01,1.0
3,3,3,10,20,4,10,21,0.0,7,0.069,0.0,0.0,1,0.007,0.0,29.0,2,0.01,1.0
3,3,3,10,20,5,10,21,0.0,8,0.077,0.0,0.0,1,0.007,0.0,49.0,2,0.01,1.0
3,3,3,10,20,6,10,21,0.0,7,0.068,0.0,0.0,1,0.007,0.0,46.0,2,0.01,1.0
3,3,3,10,20,7,10,21,30.0,10,0.108,0.0,35.0,6,0.051,1.0,35.0,2,0.01,1.0
3,3,3,10,20,8,10,21,33.0,11,0.122,0.0,34.0,7,0.058,0.910082,34.0,2,0.01,1.0
3,3,3,10,20,9,10,21,0.0,6,0.058,0.0,0.0,1,0.007,0.0,49.0,2,0.01,1.0
4,3,2,15,20,0,13,20,34.0,2,0.025,1.0,0.0,1,0.008,0.0,36.0,2,0.011,1.0
4,3,2,15,20,1,13,20,64.0,1,0.011,1.0,46.0,1,0.008,1.0,46.0,1,0.008,1.0
4,3,2,15,20,2,13,20,15.0,1,0.013,1.0,15.0,1,0.012,1.0,15.0,1,0.008,1.0
4,3,2,15,20,3,13,20,47.0,1,0.014,1.0,47.0,1,0.011,1.0,47.0,1,0.006,1.0
4,3,2,15,20,4,13,20,45.0,1,0.009,1.0,45.0,1,0.008,1.0,45.0,1,0.005,1.0
4,3,2,15,20,5,13,20,75.0,1,0.018,1.0,49.0,1,0.009,1.0,58.0,2,0.01,1.0
4,3,2,15,20,6,13,20,41.0,2,0.026,1.0,46.0,1,0.008,1.0,0.0,1,0.005,0.0
4,3,2,15,20,7,13,20,35.0,2,0.027,1.0,35.0,1,0.008,1.0,30.0,1,0.005,1.0
4,3,2,15,20,8,13,20,33.0,2,0.029,1.0,33.0,1,0.008,1.0,33.0,1,0.005,1.0
4,3,2,15,20,9,13,20,88.0,1,0.01,1.0,49.0,1,0.009,1.0,0.0,1,0.005,0.0
4,4,2,20,25,0,17,26,62.0,1,0.014,1.0,36.0,1,0.009,1.0,36.0,2,0.017,1.0
4,4,2,20,25,1,17,26,72.0,1,0.015,1.0,72.0,1,0.014,1.0,72.0,1,0.008,1.0
4,4,2,20,25,2,17,26,48.0,1,0.011,1.0,48.0,1,0.01,1.0,48.0,1,0.006,1.0
4,4,2,20,25,3,17,26,91.0,1,0.011,1.0,47.0,1,0.009,1.0,47.0,2,0.019,1.0
4,4,2,20,25,4,17,26,41.0,1,0.019,1.0,35.0,1,0.012,1.0,35.0,1,0.006,1.0
4,4,2,20,25,5,17,26,124.0,1,0.015,1.0,118.0,1,0.011,1.0,118.0,1,0.005,1.0
4,4,2,20,25,6,17,26,82.0,2,0.023,1.0,87.0,1,0.011,1.0,67.0,2,0.015,1.0
4,4,2,20,25,7,17,26,65.0,1,0.016,1.0,65.0,1,0.011,1.0,0.0,1,0.005,0.0
4,4,2,20,25,8,17,26,91.0,1,0.011,1.0,91.0,1,0.009,1.0,91.0,1,0.007,1.0
4,4,2,20,25,9,17,26,88.0,2,0.026,1.0,88.0,1,0.016,1.0,72.0,1,0.005,1.0
4,4,3,20,25,0,17,39,70.0,1,0.016,1.0,0.0,1,0.008,0.0,70.0,1,0.01,1.0
4,4,3,20,25,1,17,39,72.0,1,0.019,1.0,72.0,1,0.011,1.0,72.0,1,0.008,1.0
4,4,3,20,25,2,17,39,33.0,4,0.077,1.0,33.0,1,0.015,1.0,33.0,2,0.028,1.0
4,4,3,20,25,3,17,39,69.0,2,0.04,1.0,0.0,1,0.009,0.0,69.0,1,0.012,1.0
4,4,3,20,25,4,17,39,64.0,1,0.018,1.0,35.0,1,0.009,1.0,64.0,2,0.025,1.0
4,4,3,20,25,5,17,39,81.0,2,0.037,1.0,81.0,1,0.014,1.0,75.0,2,0.02,1.0
4,4,3,20,25,6,17,39,46.0,2,0.031,1.0,46.0,1,0.014,1.0,26.0,1,0.008,1.0
4,4,3,20,25,7,17,39,35.0,5,0.089,1.0,35.0,1,0.013,1.0,35.0,2,0.028,1.0
4,4,3,20,25,8,17,39,67.0,1,0.016,1.0,67.0,1,0.013,1.0,67.0,2,0.012,1.0
4,4,3,20,25,9,17,39,121.0,1,0.012,1.0,121.0,1,0.011,1.0,88.0,1,0.014,1.0
5,3,2,20,30,0,16,26,36.0,1,0.015,1.0,0.0,1,0.008,0.0,36.0,2,0.012,1.0
5,3,2,20,30,1,16,26,64.0,1,0.014,1.0,46.0,1,0.011,1.0,46.0,1,0.008,1.0
5,3,2,20,30,2,16,26,15.0,1,0.016,1.0,15.0,1,0.013,1.0,15.0,1,0.006,1.0
5,3,2,20,30,3,16,26,47.0,1,0.015,1.0,47.0,1,0.012,1.0,44.0,1,0.005,1.0
5,3,2,20,30,4,16,26,70.0,1,0.009,1.0,70.0,1,0.009,1.0,54.0,1,0.009,1.0
5,3,2,20,30,5,16,26,81.0,1,0.014,1.0,0.0,1,0.007,0.0,75.0,2,0.011,1.0
5,3,2,20,30,6,16,26,46.0,2,0.027,1.0,46.0,1,0.009,1.0,0.0,1,0.005,0.0
5,3,2,20,30,7,16,26,35.0,2,0.028,1.0,0.0,1,0.008,0.0,30.0,1,0.005,1.0
5,3,2,20,30,8,16,26,34.0,1,0.016,1.0,0.0,1,0.008,0.0,34.0,1,0.009,1.0
5,3,2,20,30,9,16,26,39.0,1,0.015,1.0,39.0,1,0.01,1.0,0.0,1,0.005,0.0
5,4,2,25,30,0,21,34,70.0,1,0.01,1.0,0.0,1,0.01,0.0,36.0,2,0.02,1.0
5,4,2,25,30,1,21,34,46.0,1,0.017,1.0,46.0,1,0.014,1.0,46.0,1,0.009,1.0
5,4,2,25,30,2,21,34,61.0,1,0.01,1.0,61.0,1,0.009,1.0,61.0,1,0.005,1.0
5,4,2,25,30,3,21,34,47.0,1,0.017,1.0,0.0,1,0.008,0.0,47.0,1,0.006,1.0
5,4,2,25,30,4,21,34,89.0,1,0.011,1.0,89.0,1,0.011,1.0,54.0,1,0.006,1.0
5,4,2,25,30,5,21,34,124.0,1,0.015,1.0,92.0,1,0.01,1.0,124.0,1,0.006,1.0
5,4,2,25,30,6,21,34,41.0,2,0.024,1.0,72.0,1,0.009,1.0,15.0,1,0.007,1.0
5,4,2,25,30,7,21,34,65.0,1,0.012,1.0,65.0,1,0.014,1.0,0.0,1,0.005,0.0
5,4,2,25,30,8,21,34,67.0,1,0.016,1.0,67.0,1,0.009,1.0,58.0,1,0.006,1.0
5,4,2,25,30,9,21,34,88.0,2,0.037,1.0,109.0,1,0.016,1.0,82.0,1,0.006,1.0
5,5,2,30,35,0,26,42,112.0,1,0.012,1.0,76.0,1,0.01,1.0,76.0,1,0.009,1.0
5,5,2,30,35,1,26,42,72.0,1,0.021,1.0,63.0,1,0.01,1.0,35.0,1,0.006,1.0
5,5,2,30,35,2,26,42,68.0,1,0.014,1.0,48.0,1,0.009,1.0,35.0,1,0.006,1.0
5,5,2,30,35,3,26,42,149.0,1,0.012,1.0,124.0,1,0.013,1.0,124.0,1,0.012,1.0
5,5,2,30,35,4,26,42,94.0,1,0.022,1.0,94.0,1,0.017,1.0,56.0,1,0.006,1.0
5,5,2,30,35,5,26,42,124.0,1,0.016,1.0,92.0,1,0.018,1.0,124.0,1,0.006,1.0
5,5,2,30,35,6,26,42,128.0,1,0.01,1.0,113.0,1,0.012,1.0,82.0,1,0.007,1.0
5,5,2,30,35,7,26,42,79.0,1,0.018,1.0,79.0,1,0.015,1.0,68.0,1,0.013,1.0
5,5,2,30,35,8,26,42,57.0,1,0.013,1.0,33.0,1,0.016,1.0,33.0,1,0.006,1.0
5,5,2,30,35,9,26,42,99.0,1,0.024,1.0,99.0,1,0.019,1.0,60.0,2,0.012,1.0
5,5,3,30,35,0,26,63,96.0,1,0.032,1.0,78.0,1,0.01,1.0,96.0,1,0.017,1.0
5,5,3,30,35,1,26,63,72.0,1,0.022,1.0,72.0,1,0.01,1.0,72.0,1,0.014,1.0
5,5,3,30,35,2,26,63,53.0,2,0.033,1.0,33.0,1,0.01,1.0,68.0,2,0.015,1.0
5,5,3,30,35,3,26,63,91.0,1,0.023,1.0,0.0,1,0.009,0.0,91.0,1,0.011,1.0
5,5,3,30,35,4,26,63,104.0,1,0.012,1.0,91.0,1,0.02,1.0,80.0,1,0.015,1.0
5,5,3,30,35,5,26,63,92.0,1,0.02,1.0,81.0,1,0.018,1.0,92.0,1,0.012,1.0
5,5,3,30,35,6,26,63,87.0,2,0.036,1.0,99.0,1,0.015,1.0,87.0,1,0.014,1.0
5,5,3,30,35,7,26,63,65.0,1,0.022,1.0,49.0,1,0.02,1.0,65.0,1,0.007,1.0
5,5,3,30,35,8,26,63,91.0,1,0.011,1.0,91.0,1,0.011,1.0,91.0,1,0.008,1.0
5,5,3,30,35,9,26,63,88.0,1,0.021,1.0,88.0,1,0.015,1.0,72.0,1,0.01,1.0
